,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,year
0,Almena State Bank,Almena,KS,15426,Equity Bank,2020-10-23,2020
1,First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",2020-10-16,2020
2,The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",2020-04-03,2020
3,Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,2020-02-14,2020
4,City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,2019-11-01,2019
5,Resolute Bank,Maumee,OH,58317,Buckeye State Bank,2019-10-25,2019
6,Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,2019-10-25,2019
7,The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",2019-05-31,2019
8,Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,2017-12-15,2017
9,The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,2017-10-13,2017
10,Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",2017-05-26,2017
11,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,2017-05-05,2017
12,First NBC Bank,New Orleans,LA,58302,Whitney Bank,2017-04-28,2017
13,Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,2017-03-03,2017
14,Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,2017-01-27,2017
15,Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,2017-01-13,2017
16,Allied Bank,Mulberry,AR,91,Today's Bank,2016-09-23,2016
17,The Woodbury Banking Company,Woodbury,GA,11297,United Bank,2016-08-19,2016
18,First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,2016-05-06,2016
19,Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,2016-04-29,2016
20,North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,2016-03-11,2016
21,Hometown National Bank,Longview,WA,35156,Twin City Bank,2015-10-02,2015
22,The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2015-10-02,2015
23,Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",2015-07-10,2015
24,Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,2015-05-08,2015
25,Doral Bank  En Español,San Juan,PR,32102,Banco Popular de Puerto Rico,2015-02-27,2015
26,Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,2015-02-13,2015
27,Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",2015-01-23,2015
28,First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,2015-01-16,2015
29,Northern Star Bank,Mankato,MN,34983,BankVista,2014-12-19,2014
30,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",2014-11-07,2014
31,The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,2014-10-24,2014
32,NBRS Financial,Rising Sun,MD,4862,Howard Bank,2014-10-17,2014
33,"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",2014-07-25,2014
34,Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,2014-07-18,2014
35,The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,2014-06-27,2014
36,Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",2014-06-20,2014
37,Valley Bank,Moline,IL,10450,Great Southern Bank,2014-06-20,2014
38,Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",2014-05-30,2014
39,Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",2014-05-23,2014
40,AztecAmerica Bank En Español,Berwyn,IL,57866,Republic Bank of Chicago,2014-05-16,2014
41,Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,2014-04-25,2014
42,Vantage Point Bank,Horsham,PA,58531,First Choice Bank,2014-02-28,2014
43,"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,2014-02-28,2014
44,Syringa Bank,Boise,ID,34296,Sunwest Bank,2014-01-31,2014
45,The Bank of Union,El Reno,OK,17967,BancFirst,2014-01-24,2014
46,DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,2014-01-17,2014
47,"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",2013-12-13,2013
48,Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,2013-10-30,2013
49,First National Bank also operating as The National Bank of El  Paso  En Español,Edinburg,TX,14318,PlainsCapital Bank,2013-09-13,2013
50,The Community's Bank,Bridgeport,CT,57041,No Acquirer,2013-09-13,2013
51,Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",2013-08-23,2013
52,Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",2013-08-23,2013
53,Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,2013-08-09,2013
54,First Community Bank of Southwest Florida (also operating as  Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2013-08-02,2013
55,Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",2013-06-07,2013
56,1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,2013-06-06,2013
57,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",2013-05-31,2013
58,Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,2013-05-14,2013
59,Sunrise Bank,Valdosta,GA,58185,Synovus Bank,2013-05-10,2013
60,Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",2013-05-10,2013
61,Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,2013-04-26,2013
62,Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",2013-04-26,2013
63,Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,2013-04-19,2013
64,Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,2013-04-19,2013
65,First Federal Bank,Lexington,KY,29594,Your Community Bank,2013-04-19,2013
66,Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",2013-04-05,2013
67,Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,2013-03-08,2013
68,Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,2013-02-15,2013
69,1st Regents Bank,Andover,MN,57157,First Minnesota Bank,2013-01-18,2013
70,Westside Community Bank,University Place,WA,33997,Sunwest Bank,2013-01-11,2013
71,Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,2012-12-14,2012
72,Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",2012-11-16,2012
73,Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2012-11-02,2012
74,Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2012-11-02,2012
75,NOVA Bank,Berwyn,PA,27148,No Acquirer,2012-10-26,2012
76,Excel Bank,Sedalia,MO,19189,Simmons First National Bank,2012-10-19,2012
77,First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,2012-10-19,2012
78,GulfSouth Private Bank,Destin,FL,58073,SmartBank,2012-10-19,2012
79,First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",2012-09-28,2012
80,Truman Bank,St. Louis,MO,27316,Simmons First National Bank,2012-09-14,2012
81,First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,2012-09-07,2012
82,Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,2012-08-03,2012
83,Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,2012-07-27,2012
84,Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,2012-07-20,2012
85,Heartland Bank,Leawood,KS,1361,Metcalf Bank,2012-07-20,2012
86,First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,2012-07-20,2012
87,Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,2012-07-20,2012
88,The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,2012-07-20,2012
89,Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,2012-07-13,2012
90,Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,2012-07-06,2012
91,The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,2012-06-15,2012
92,Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,2012-06-15,2012
93,Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,2012-06-15,2012
94,Waccamaw Bank,Whiteville,NC,34515,First Community Bank,2012-06-08,2012
95,Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,2012-06-08,2012
96,Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,2012-06-08,2012
97,First Capital Bank,Kingfisher,OK,416,F & M Bank,2012-06-08,2012
98,"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,2012-05-18,2012
99,"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,2012-05-04,2012
100,Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,2012-04-27,2012
101,Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,2012-04-27,2012
102,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,2012-04-27,2012
103,HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,2012-04-27,2012
104,Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,2012-04-27,2012
105,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,2012-04-20,2012
106,Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,2012-03-30,2012
107,Premier Bank,Wilmette,IL,35419,International Bank of Chicago,2012-03-23,2012
108,Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",2012-03-23,2012
109,New City Bank,Chicago,IL,57597,No Acquirer,2012-03-09,2012
110,Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2012-03-02,2012
111,Home Savings of America,Little Falls,MN,29178,No Acquirer,2012-02-24,2012
112,Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,2012-02-24,2012
113,SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",2012-02-10,2012
114,Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",2012-02-10,2012
115,BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",2012-01-27,2012
116,Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,2012-01-27,2012
117,Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,2012-01-27,2012
118,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",2012-01-27,2012
119,American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",2012-01-20,2012
120,The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,2012-01-20,2012
121,Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",2012-01-20,2012
122,Western National Bank,Phoenix,AZ,57917,Washington Federal,2011-12-16,2011
123,Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,2011-12-16,2011
124,Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,2011-11-18,2011
125,Polk County Bank,Johnston,IA,14194,Grinnell State Bank,2011-11-18,2011
126,Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,2011-11-10,2011
127,SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,2011-11-04,2011
128,"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,2011-11-04,2011
129,All American Bank,Des Plaines,IL,57759,International Bank of Chicago,2011-10-28,2011
130,Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",2011-10-21,2011
131,Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,2011-10-21,2011
132,Decatur First Bank,Decatur,GA,34392,Fidelity Bank,2011-10-21,2011
133,Old Harbor Bank,Clearwater,FL,57537,1st United Bank,2011-10-21,2011
134,Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,2011-10-14,2011
135,First State Bank,Cranford,NJ,58046,Northfield Bank,2011-10-14,2011
136,"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,2011-10-14,2011
137,Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,2011-10-14,2011
138,Sun Security Bank,Ellington,MO,20115,Great Southern Bank,2011-10-07,2011
139,The RiverBank,Wyoming,MN,10216,Central Bank,2011-10-07,2011
140,First International Bank,Plano,TX,33513,American First National Bank,2011-09-30,2011
141,Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,2011-09-23,2011
142,Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,2011-09-23,2011
143,The First National Bank of Florida,Milton,FL,25155,CharterBank,2011-09-09,2011
144,CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2011-09-02,2011
145,Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2011-09-02,2011
146,First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,2011-08-19,2011
147,First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,2011-08-19,2011
148,Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",2011-08-19,2011
149,Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",2011-08-18,2011
150,The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,2011-08-12,2011
151,Bank of Whitman,Colfax,WA,22528,Columbia State Bank,2011-08-05,2011
152,Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,2011-08-05,2011
153,Integra Bank National Association,Evansville,IN,4392,Old National Bank,2011-07-29,2011
154,"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,2011-07-29,2011
155,Virginia Business Bank,Richmond,VA,58283,Xenith Bank,2011-07-29,2011
156,Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",2011-07-22,2011
157,LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,2011-07-22,2011
158,Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,2011-07-22,2011
159,Summit Bank,Prescott,AZ,57442,The Foothills Bank,2011-07-15,2011
160,First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",2011-07-15,2011
161,High Trust Bank,Stockbridge,GA,19554,Ameris Bank,2011-07-15,2011
162,One Georgia Bank,Atlanta,GA,58238,Ameris Bank,2011-07-15,2011
163,Signature Bank,Windsor,CO,57835,Points West Community Bank,2011-07-08,2011
164,Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,2011-07-08,2011
165,First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,2011-07-08,2011
166,Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,2011-06-24,2011
167,First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,2011-06-17,2011
168,McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,2011-06-17,2011
169,Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",2011-06-03,2011
170,First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,2011-05-27,2011
171,Summit Bank,Burlington,WA,513,Columbia State Bank,2011-05-20,2011
172,First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",2011-05-20,2011
173,Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",2011-05-20,2011
174,Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank,  N.A.",2011-05-06,2011
175,Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,2011-04-29,2011
176,The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,2011-04-29,2011
177,First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,2011-04-29,2011
178,Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank,  N.A.",2011-04-29,2011
179,First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank,  N.A.",2011-04-29,2011
180,Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,2011-04-15,2011
181,Rosemount National Bank,Rosemount,MN,24099,Central Bank,2011-04-15,2011
182,Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",2011-04-15,2011
183,Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,2011-04-15,2011
184,New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,2011-04-15,2011
185,Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,2011-04-15,2011
186,Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,2011-04-08,2011
187,Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,2011-04-08,2011
188,The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,2011-03-25,2011
189,Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,2011-03-11,2011
190,First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,2011-03-11,2011
191,Valley Community Bank,St. Charles,IL,34187,First State Bank,2011-02-25,2011
192,"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,2011-02-18,2011
193,Charter Oak Bank,Napa,CA,57855,Bank of Marin,2011-02-18,2011
194,Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,2011-02-18,2011
195,Habersham Bank,Clarkesville,GA,151,SCBT National Association,2011-02-18,2011
196,Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,2011-02-11,2011
197,Badger State Bank,Cassville,WI,13272,Royal Bank,2011-02-11,2011
198,Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,2011-02-11,2011
199,Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",2011-02-11,2011
200,Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,2011-02-04,2011
201,North Georgia Bank,Watkinsville,GA,35242,BankSouth,2011-02-04,2011
202,American Trust Bank,Roswell,GA,57432,Renasant Bank,2011-02-04,2011
203,First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",2011-01-28,2011
204,FirsTier Bank,Louisville,CO,57646,No Acquirer,2011-01-28,2011
205,Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,2011-01-28,2011
206,The First State Bank,Camargo,OK,2303,Bank 7,2011-01-28,2011
207,United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,2011-01-21,2011
208,The Bank of Asheville,Asheville,NC,34516,First Bank,2011-01-21,2011
209,CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",2011-01-21,2011
210,Enterprise Banking Company,McDonough,GA,19758,No Acquirer,2011-01-21,2011
211,Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,2011-01-14,2011
212,Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,2011-01-07,2011
213,First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,2011-01-07,2011
214,Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,2010-12-17,2010
215,First Southern Bank,Batesville,AR,58052,Southern Bank,2010-12-17,2010
216,"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,2010-12-17,2010
217,"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,2010-12-17,2010
218,Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,2010-12-17,2010
219,"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,2010-12-17,2010
220,Earthstar Bank,Southampton,PA,35561,Polonia Bank,2010-12-10,2010
221,Paramount Bank,Farmington Hills,MI,34673,Level One Bank,2010-12-10,2010
222,First Banking Center,Burlington,WI,5287,First Michigan Bank,2010-11-19,2010
223,Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,2010-11-19,2010
224,Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,2010-11-19,2010
225,Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",2010-11-12,2010
226,Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,2010-11-12,2010
227,Tifton Banking Company,Tifton,GA,57831,Ameris Bank,2010-11-12,2010
228,First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,2010-11-05,2010
229,Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,2010-11-05,2010
230,Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,2010-11-05,2010
231,K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),2010-11-05,2010
232,"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,2010-10-22,2010
233,Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",2010-10-22,2010
234,First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,2010-10-22,2010
235,The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,2010-10-22,2010
236,The Gordon Bank,Gordon,GA,33904,Morris Bank,2010-10-22,2010
237,Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,2010-10-22,2010
238,First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,2010-10-22,2010
239,Premier Bank,Jefferson City,MO,34016,Providence Bank,2010-10-15,2010
240,WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,2010-10-15,2010
241,"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,2010-10-15,2010
242,Shoreline Bank,Shoreline,WA,35250,GBC International Bank,2010-10-01,2010
243,Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,2010-10-01,2010
244,North County Bank,Arlington,WA,35053,Whidbey Island Bank,2010-09-24,2010
245,Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,2010-09-24,2010
246,Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",2010-09-17,2010
247,Bramble Savings Bank,Milford,OH,27808,Foundation Bank,2010-09-17,2010
248,The Peoples Bank,Winder,GA,182,Community & Southern Bank,2010-09-17,2010
249,First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,2010-09-17,2010
250,Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,2010-09-17,2010
251,ISN Bank,Cherry Hill,NJ,57107,Customers Bank,2010-09-17,2010
252,Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,2010-09-10,2010
253,Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,2010-08-20,2010
254,Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,2010-08-20,2010
255,Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",2010-08-20,2010
256,Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",2010-08-20,2010
257,ShoreBank,Chicago,IL,15640,Urban Partnership Bank,2010-08-20,2010
258,Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",2010-08-20,2010
259,Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",2010-08-20,2010
260,Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",2010-08-20,2010
261,Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,2010-08-13,2010
262,Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,2010-08-06,2010
263,LibertyBank,Eugene,OR,31964,Home Federal Bank,2010-07-30,2010
264,The Cowlitz Bank,Longview,WA,22643,Heritage Bank,2010-07-30,2010
265,Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,2010-07-30,2010
266,Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,2010-07-30,2010
267,Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,2010-07-30,2010
268,Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,2010-07-23,2010
269,SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,2010-07-23,2010
270,Community Security Bank,New Prague,MN,34486,Roundbank,2010-07-23,2010
271,Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,2010-07-23,2010
272,Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23,2010
273,Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,2010-07-23,2010
274,Sterling Bank,Lantana,FL,32536,IBERIABANK,2010-07-23,2010
